carretera_id,state_slug,carretera,clave_carretera,ruta,station_count
1148,sinaloa,El Limoncito - Cinco Hermanos,25016,SIN-016,2
1149,sinaloa,Rosario - Caimanero,25003,SIN-003,2
1150,sinaloa,Carrizal - Campo Aníbal,25585,SIN-019,4
1151,sinaloa,Estación Dimas - San Ignacio,25007,SIN-006,4
1152,sinaloa,Escuinapa de Hidalgo - Teacapan,25001,SIN-001,2
1153,sinaloa,Durango - Mazatlán (Cuota),00084,MEX-040D,14
1154,sinaloa,Los Mochis - Cd. Obregón (Cuota),26444,MEX-015D,39
1155,sinaloa,Libramiento de Mazatlán,288-01,MEX-015D,4
1156,sinaloa,Libramiento de Mazatlán (Cuota), ,MEX-015D,10
1157,sinaloa,Ramal a Estación Bamoa,25022,SIN-022,2
1158,sinaloa,Ramal a El Quelite,25060,SIN-060,2
1159,sinaloa,Culiacán - El Dorado,25044,SIN-005,9
1160,sinaloa,Durango - Villa Unión,0083,MEX-040,12
1161,sinaloa,El Salado - El Dorado,25010,SIN-010,2
1162,sinaloa,Ramal a La Cruz,25043,SIN,2
1163,sinaloa,Guamuchil - Mocorito,25021,SIN-021,3
1164,sinaloa,Pozole - Cofradía,25080,SIN-080,2
1165,sinaloa,Libramiento de Culiacán (Cuota), ,MEX-015D,5
1166,sinaloa,Libramiento Sur de Culiacán,25500,MEX-015,4
1167,sinaloa,Ramal a Chametla,25002,SIN-002,2
1168,sinaloa,Tepic - Mazatlán,00499,MEX-015,43
1169,sinaloa,Topolobampo - Choix,25032,SIN-023,16
1170,sinaloa,Tepic - Villa Unión (cuota),00500,MEX-015D,28
1171,sinaloa,Villa Unión - El Walamo,25081,SIN-081,2
1172,sinaloa,Villa Unión - Siqueiros,25063,SIN-063,2
1173,sonora,Altar - Sáric,26233,SON-064,2
1174,sonora,Caborca - El Desemboque,26225,SON-037,6
1175,sonora,Cd. Obregón - Guaymas (Cuota),26444,MEX-015D,28
1176,sonora,Hermosillo - Lim. Edos. Term. Son. Ppia. Chih. (Yécora),26251,MEX-016,7
1177,sonora,Guaymas - Hermosillo,26444,MEX-015,14
1178,sonora,Esperanza - Presa Álvaro Obregón,26242,SON-117,3
1179,sonora,Hermosillo - Bahía Kino,26109,SON-100,11
1180,sonora,Hermosillo - Magdalena de Kino (Cuota),26444,MEX-015D,25
1181,sonora,Los Mochis - Cd. Obregón (Cuota),26444,MEX-015D,39
1182,sonora,Magdalena de Kino - Nogales,26444,MEX-015,17
1183,sonora,Mazocahui - Cananea,26118,SON-118,4
1184,sonora,Santa Ana - Sonoita,26080,MEX-002D-MEX,15
1185,sonora,Sonoita - Mexicali,263,MEX-002,21
1186,sonora,Agua Prieta - Imuris,26079,MEX-002,7
1187,sonora,T. C. (Hermosillo - Nogales) - Huásabas,26231,MEX-014-SON,7
1188,sonora,Calle 36 Norte - Puerto de La Libertad,26117,SON-029,3
1189,sonora,Huatabampo - Bacabachi,26237,SON-176,2
1190,sonora,Sonoita - Puerto Peñasco,26232,MEX-002,2
