station_id,year,tdpa
687a5e5d9b36b04cf0b8000c,2019,1480
687a5e5d9b36b04cf0b8000c,2018,1382
687a5e5d9b36b04cf0b8000c,2017,1397
687a5e5d9b36b04cf0b8000c,2016,1196
687a5e5d9b36b04cf0b8000c,2015,1218
687a5e5d9b36b04cf0b8000c,2014,1050
687a5e5d9b36b04cf0b8000c,2013,1026
687a5e5d9b36b04cf0b8000c,2012,954
687a5e5d9b36b04cf0b8000c,2011,924
687a5e5d9b36b04cf0b8000c,2010,1138
687a5e5d9b36b04cf0b8000d,2024,3673
687a5e5d9b36b04cf0b8000d,2023,3065
687a5e5d9b36b04cf0b8000d,2022,3017
687a5e5d9b36b04cf0b8000d,2021,3014
687a5e5d9b36b04cf0b8000d,2020,2597
687a5e5d9b36b04cf0b8000d,2019,2881
687a5e5d9b36b04cf0b8000d,2018,2860
687a5e5d9b36b04cf0b8000d,2017,2723
687a5e5d9b36b04cf0b8000d,2016,2685
687a5e5d9b36b04cf0b8000d,2015,2754
687a5e5d9b36b04cf0b8000d,2014,2740
687a5e5d9b36b04cf0b8000d,2013,2746
687a5e5d9b36b04cf0b8000d,2012,2803
687a5e5d9b36b04cf0b8000d,2011,2898
687a5e5d9b36b04cf0b8000d,2010,2590
687a5e5d9b36b04cf0b807fa,2024,3207
687a5e5d9b36b04cf0b807fa,2023,2952
687a5e5d9b36b04cf0b807fa,2022,2906
687a5e5d9b36b04cf0b807fa,2021,2727
687a5e5d9b36b04cf0b807fa,2020,2540
687a5e5d9b36b04cf0b807fa,2019,2607
687a5e5d9b36b04cf0b807fa,2018,2578
687a5e5d9b36b04cf0b807fa,2017,2680
687a5e5d9b36b04cf0b807fa,2016,2738
687a5e5d9b36b04cf0b807fa,2015,3159
687a5e5d9b36b04cf0b807fa,2014,3043
687a5e5d9b36b04cf0b807fa,2013,2988
687a5e5d9b36b04cf0b807fa,2012,2610
687a5e5d9b36b04cf0b807fa,2011,2525
687a5e5d9b36b04cf0b807fa,2010,2571
687a5e5d9b36b04cf0b80817,2024,8903
687a5e5d9b36b04cf0b80817,2023,8751
687a5e5d9b36b04cf0b80817,2022,7816
687a5e5d9b36b04cf0b80817,2021,6105
687a5e5d9b36b04cf0b80817,2020,6140
687a5e5d9b36b04cf0b80817,2019,6223
687a5e5d9b36b04cf0b80817,2018,6238
687a5e5d9b36b04cf0b80817,2017,5989
687a5e5d9b36b04cf0b80817,2016,5690
687a5e5d9b36b04cf0b80817,2015,5171
687a5e5d9b36b04cf0b80817,2014,6771
