caseta_mongo_id,state_slug,caseta_name,cve,carretera,ruta,movimiento,tdpa_2024,lat,lon,rubro
68798c739b36b04cf0b7bfeb,guerrero,Xochitepec,069,Cuernavaca-Acapulco,MEX-095D,Cuernavaca-Xochitepec,3514,18.774989,-99.22532,casetas
68798c739b36b04cf0b7bfec,guerrero,Ing. Francisco Velasco Durán,070,Cuernavaca-Acapulco,MEX-095D,Cuernavaca-Puente de Ixtla,15564,18.698498,-99.278028,casetas
68798c739b36b04cf0b7bfed,guerrero,Alpuyeca,071-01,Cuernavaca-Acapulco,MEX-095D,Cuernavaca-Alpuyeca,4398,18.723832,-99.260221,casetas
68798c739b36b04cf0b7bfef,guerrero,Paso Morelos,072-01,Cuernavaca-Acapulco,MEX-095D,Puente de Ixtla-Chilpancingo,7807,18.231462,-99.215446,casetas
68798c739b36b04cf0b7bff2,guerrero,Palo Blanco,073,Cuernavaca-Acapulco,MEX-095D,Chilpancingo-Tierra Colorada,8445,17.423983,-99.466911,casetas
68798c739b36b04cf0b7bff3,guerrero,La Venta,074,Cuernavaca-Acapulco,MEX-095D,Tierra Colorada-Acapulco,8730,16.928232,-99.801857,casetas
68798c739b36b04cf0b7c08b,guerrero,Iguala,174,Puente de Ixtla-Iguala,MEX-D,Puente de Ixtla-Iguala,3872,18.336191,-99.508296,casetas
68798c739b36b04cf0b7c08c,guerrero,Zacapalco,175,Zacapalco-Taxco,MEX-D,Zacapalco-RanchoViejo,1758,18.537999,-99.447424,casetas
68798c739b36b04cf0b7c08d,guerrero,Taxco,176,Zacapalco-Taxco,MEX-D,Rancho Viejo-Taxco,2870,18.588609,-99.559993,casetas
68798c739b36b04cf0b7c116,guerrero,Feliciano,201-01,Nueva Italia-Lázaro Cárdenas,MEX-037D,Las Cañas-Feliciano,1962,18.00409,-101.961847,casetas
68798c739b36b04cf0b7c229,guerrero,Técpan,256,Libramiento de Técpan,MEX-200D,Libramiento de Técpan,2071,17.197071,-100.626751,casetas
68798c739b36b04cf0b7bfb5,hidalgo,Sahagún,242-03,Arco Norte Cd. México,MEX-M40D,Jilotepec-Sahagún,3,19.756052,-98.630506,casetas
